Crop,N_percent,P_mg_per_kg,K_cmol_per_kg,pH,Temp_C,Rainfall_mm,Yield_t_per_ha
Maize,0.07,7.5,0.4,5.5,27.5,550,1.43
Maize,0.08,8.2,0.45,5.6,28,580,1.6
Maize,0.06,6.8,0.38,5.4,27,530,1.3
Maize,0.09,8.5,0.5,5.7,28.2,600,1.7
Maize,0.05,6.2,0.34,5.3,26.5,500,1.15
Maize,0.07,7,0.42,5.5,27.5,560,1.45
Maize,0.06,6.5,0.36,5.2,26.8,510,1.25
Maize,0.08,7.8,0.44,5.6,27.9,570,1.55
Maize,0.07,7.3,0.4,5.5,27.4,545,1.42
Maize,0.09,9,0.52,5.8,28.5,620,1.75
Maize,0.06,6,0.33,5.2,26.3,490,1.1
Maize,0.08,7.6,0.46,5.6,28.1,590,1.58
Maize,0.07,7.1,0.39,5.4,27,540,1.35
Maize,0.05,5.9,0.31,5.1,26,480,1
Maize,0.09,8.9,0.51,5.7,28.4,615,1.72
Maize,0.07,7.4,0.41,5.5,27.6,555,1.47
Maize,0.08,8,0.47,5.6,28,585,1.63
Maize,0.06,6.3,0.35,5.3,26.7,505,1.2
Maize,0.09,9.2,0.53,5.9,28.6,630,1.78
Maize,0.07,7.2,0.4,5.4,27.2,540,1.38
Rice,0.07,7.5,0.4,5.5,27.5,550,1.26
Rice,0.08,8.1,0.44,5.6,28,570,1.42
Rice,0.06,6.5,0.36,5.3,27,520,1.1
Rice,0.09,8.6,0.5,5.7,28.3,600,1.55
Rice,0.05,6,0.32,5.2,26.5,490,0.95
Rice,0.07,7,0.39,5.4,27.4,540,1.22
Rice,0.08,7.8,0.45,5.6,27.9,565,1.38
Rice,0.06,6.3,0.34,5.3,26.8,510,1.08
Rice,0.09,9.1,0.52,5.8,28.5,620,1.6
Rice,0.07,7.2,0.4,5.5,27.2,535,1.24
Rice,0.08,8.3,0.46,5.7,28.2,580,1.46
Rice,0.06,6.1,0.33,5.2,26.7,495,1.05
Rice,0.05,5.8,0.31,5.1,26.3,475,0.9
Rice,0.09,9.3,0.53,5.9,28.7,630,1.63
Rice,0.07,7.1,0.38,5.4,27.3,545,1.2
Rice,0.08,8,0.43,5.6,28.1,575,1.4
Rice,0.06,6.6,0.35,5.3,26.9,505,1.12
Rice,0.09,8.8,0.51,5.8,28.4,610,1.58
Rice,0.07,7.3,0.4,5.5,27.1,540,1.25
Rice,0.08,8.2,0.47,5.6,28,590,1.44
Cassava,0.08,8.2,0.42,5.6,27.8,580,9.5
Cassava,0.09,8.5,0.48,5.7,28,590,9.9
Cassava,0.07,7.6,0.41,5.5,27.2,560,9.3
Cassava,0.06,7.2,0.39,5.4,26.9,550,9.1
Cassava,0.08,8,0.45,5.6,27.6,570,9.6
Cassava,0.07,7.4,0.4,5.5,27,540,9.2
Cassava,0.09,8.8,0.5,5.8,28.3,600,9.95
Cassava,0.05,6.8,0.36,5.3,26.5,530,8.8
Cassava,0.06,7,0.38,5.4,26.7,545,9
Cassava,0.08,8.1,0.46,5.6,27.5,575,9.7
Cassava,0.07,7.3,0.42,5.5,27.1,550,9.4
Cassava,0.06,6.9,0.37,5.4,26.6,535,8.95
Cassava,0.09,9,0.52,5.9,28.5,610,10
Cassava,0.07,7.1,0.4,5.5,27.3,560,9.3
Cassava,0.08,8.3,0.47,5.7,27.9,580,9.85
Cassava,0.05,6.5,0.34,5.2,26.2,520,8.7
Cassava,0.06,7.2,0.39,5.4,26.8,545,9.15
Cassava,0.08,8,0.44,5.6,27.7,570,9.65
Cassava,0.09,9.1,0.51,5.8,28.2,605,9.98
Cassava,0.07,7.5,0.41,5.5,27.4,555,9.35
Plantain,0.08,7.8,0.45,5.6,27.9,570,7.4
Plantain,0.09,8.4,0.49,5.7,28.1,590,7.6
Plantain,0.07,7.3,0.42,5.5,27.3,555,7.2
Plantain,0.06,6.9,0.4,5.4,26.8,540,6.95
Plantain,0.08,7.6,0.44,5.6,27.5,560,7.45
Plantain,0.07,7.2,0.41,5.5,27,545,7.1
Plantain,0.09,8.7,0.5,5.8,28.4,600,7.75
Plantain,0.05,6.5,0.36,5.2,26.2,530,6.7
Plantain,0.06,6.8,0.38,5.3,26.6,535,6.85
Plantain,0.08,7.9,0.46,5.6,27.7,575,7.55
Plantain,0.07,7.1,0.4,5.5,27.1,550,7.15
Plantain,0.06,6.6,0.37,5.3,26.5,525,6.8
Plantain,0.09,9,0.51,5.9,28.6,610,7.8
Plantain,0.07,7.4,0.43,5.5,27.2,555,7.3
Plantain,0.08,8.2,0.47,5.7,27.8,580,7.65
Plantain,0.05,6.4,0.34,5.2,26,515,6.6
Plantain,0.06,7,0.39,5.4,26.9,540,7
Plantain,0.08,7.7,0.45,5.6,27.6,565,7.5
Plantain,0.09,9.1,0.52,5.8,28.5,620,7.85
Plantain,0.07,7.5,0.42,5.5,27.3,550,7.25
Cocoyam,0.08,7.7,0.43,5.6,27.8,560,5.8
Cocoyam,0.09,8.2,0.47,5.7,28.1,575,6.1
Cocoyam,0.07,7.2,0.41,5.5,27.2,540,5.6
Cocoyam,0.06,6.8,0.39,5.4,26.8,525,5.4
Cocoyam,0.08,7.5,0.44,5.6,27.5,555,5.9
Cocoyam,0.07,7,0.4,5.5,27,530,5.65
Cocoyam,0.09,8.6,0.49,5.8,28.3,590,6.2
Cocoyam,0.05,6.4,0.35,5.2,26.3,510,5.1
Cocoyam,0.06,6.6,0.37,5.3,26.6,520,5.3
Cocoyam,0.08,7.8,0.45,5.6,27.7,565,6
Cocoyam,0.07,6.9,0.42,5.5,27.1,540,5.7
Cocoyam,0.06,6.5,0.36,5.3,26.5,515,5.25
Cocoyam,0.09,9,0.5,5.9,28.5,600,6.3
Cocoyam,0.07,7.3,0.43,5.5,27.3,545,5.75
Cocoyam,0.08,8,0.46,5.7,27.9,570,6.15
Cocoyam,0.05,6.2,0.34,5.2,26.1,500,5
Cocoyam,0.06,6.9,0.38,5.4,26.9,525,5.55
Cocoyam,0.08,7.6,0.44,5.6,27.6,550,5.95
Cocoyam,0.09,9.1,0.52,5.8,28.6,610,6.35
Cocoyam,0.07,7.1,0.41,5.5,27.4,535,5.65
Yam,0.08,7.9,0.46,5.6,27.8,570,6.4
Yam,0.09,8.3,0.49,5.7,28,585,6.6
Yam,0.07,7.1,0.42,5.5,27.3,550,6.2
Yam,0.06,6.7,0.39,5.4,26.8,535,5.95
Yam,0.08,7.6,0.45,5.6,27.6,565,6.5
Yam,0.07,7,0.41,5.5,27,540,6.15
Yam,0.09,8.8,0.5,5.8,28.3,600,6.75
Yam,0.05,6.3,0.36,5.2,26.2,520,5.8
Yam,0.06,6.5,0.38,5.3,26.5,525,5.9
Yam,0.08,7.7,0.47,5.6,27.7,575,6.55
Yam,0.07,7.2,0.43,5.5,27.1,545,6.25
Yam,0.06,6.6,0.37,5.3,26.6,530,5.85
Yam,0.09,9,0.52,5.9,28.5,610,6.8
