Region,Month,Temp_C,Rainfall_mm
Volta,January,25.9,50
Volta,February,26.1,55
Volta,March,26.4,80
Volta,April,26.2,105
Volta,May,26.7,195
Volta,June,27,270
Volta,July,26.5,175
Volta,August,25.8,70
Volta,September,26.3,115
Volta,October,27.1,250
Volta,November,26.6,185
Volta,December,26,105
Volta,January,25.9,50
Volta,February,26.1,55
Volta,March,26.4,80
Volta,April,26.2,105
Volta,May,26.7,195
Volta,June,27,270
Volta,July,26.5,175
Volta,August,25.8,70
Volta,September,26.3,115
Volta,October,27.1,250
Volta,November,26.6,185
Volta,December,26,105
Volta,January,25.9,50
Volta,February,26.1,55
Volta,March,26.4,80
Volta,April,26.2,105
Volta,May,26.7,195
Volta,June,27,270
Volta,July,26.5,175
Volta,August,25.8,70
Volta,September,26.3,115
Volta,October,27.1,250
Volta,November,26.6,185
Volta,December,26,105
Volta,January,25.9,50
Volta,February,26.1,55
Volta,March,26.4,80
Volta,April,26.2,105
Volta,May,26.7,195
Volta,June,27,270
Volta,July,26.5,175
Volta,August,25.8,70
Volta,September,26.3,115
Volta,October,27.1,250
Volta,November,26.6,185
Volta,December,26,105
Volta,January,26,50
Volta,February,26.2,55
Volta,March,26.5,80
Volta,April,26.3,105
Volta,May,26.8,195
Volta,June,27.1,270
Volta,July,26.6,175
Volta,August,25.9,70
Volta,September,26.4,115
Volta,October,27.2,250
Volta,November,26.7,185
Volta,December,26.1,105
Volta,January,26,50
Volta,February,26.2,55
Volta,March,26.5,80
Volta,April,26.3,105
Volta,May,26.8,195
Volta,June,27.1,270
Volta,July,26.6,175
Volta,August,25.9,70
Volta,September,26.4,115
Volta,October,27.2,250
Volta,November,26.7,185
Volta,December,26.1,105
Volta,January,26,50
Volta,February,26.2,55
Volta,March,26.5,80
Volta,April,26.3,105
Volta,May,26.8,195
Volta,June,27.1,270
Volta,July,26.6,175
Volta,August,25.9,70
Volta,September,26.4,115
Volta,October,27.2,250
Volta,November,26.7,185
Volta,December,26.1,105
Volta,January,26,50
Volta,February,26.2,55
Volta,March,26.5,80
Volta,April,26.3,105
Volta,May,26.8,195
Volta,June,27.1,270
Volta,July,26.6,175
Volta,August,25.9,70
Volta,September,26.4,115
Volta,October,27.2,250
Volta,November,26.7,185
Volta,December,26.1,105
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,5.7,27.3
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper West,January,26.8,5
Upper West,February,27.1,10
Upper West,March,27.5,25
Upper West,April,27.8,50
Upper West,May,28.1,110
Upper West,June,28.3,180
Upper West,July,28.5,240
Upper West,August,28.3,280
Upper West,September,28.1,260
Upper West,October,27.8,180
Upper West,November,27.3,70
Upper West,December,26.9,15
Upper East,January,26.7,5
Upper East,February,27,10
Upper East,March,27.4,25
Upper East,April,27.7,50
Upper East,May,28,110
Upper East,June,28.2,180
Upper East,July,28.4,240
Upper East,August,28.2,280
Upper East,September,28,260
Upper East,October,27.7,180
Upper East,November,27.2,70
Upper East,December,26.8,15
Upper East,January,26.7,5
Upper East,February,27,10
Upper East,March,27.4,25
Upper East,April,27.7,50
Upper East,May,28,110
Upper East,June,28.2,180
Upper East,July,28.4,240
Upper East,August,28.2,280
Upper East,September,28,260
Upper East,October,27.7,180
Upper East,November,27.2,70
Upper East,December,26.8,15
Upper East,January,26.7,5
Upper East,February,27,10
Upper East,March,27.4,25
Upper East,April,27.7,50
Upper East,May,28,110
Upper East,June,28.2,180
Upper East,July,28.4,240
Upper East,August,28.2,280
Upper East,September,28,260
Upper East,October,27.7,180
Upper East,November,27.2,70
Upper East,December,26.8,15
